feature_id,explanation
0,Tokens tied to dialogue or narrative emphasizing a moral lesson or value.
1,"The comma following ""big"" before an adjective describing a distinct object or entity."
2,"The token ""everyone"" used inclusively to describe collective participation or shared experiences."
3,"Tokens ""rescued"" or ""stuck"" in scenarios involving being trapped and subsequently freed."
4,"The past tense verb ""were"" describing relationships or states of being involving two or more entities."
5,"The word ""long"" describing duration, physical length, or repeated for emphasis."
6,"The token ""Benny,"" often used as a character's name in fictional summaries or narratives."
7,"The comma following ""Hi"" in direct speech."
8,"Adjectives ""fluffy"" or ""wooden"" describing the texture or material of objects."
9,"The token ""the"" when introducing a specific location or aid in solving a problem or situation."
10,"The token ""cry"" or variations, often in emotional contexts involving sadness or distress."
11,"The token ""a"" preceding a noun modified by descriptive adjectives in a phrase."
12,"Verbs indicating motion or intention, often used in casual dialogue or narrative contexts."
13,"The word ""you"" in direct speech expressing assistance or reassurance."
14,"The verb ""bake"" in contexts involving familial or collaborative baking activities."
15,"The verb ""shook"" or ""shakes"" associated with head movement."
16,"The comma immediately following ""Look"" in exclamatory sentences."
17,"Objects placed on surfaces like tables, walls, or shelves."
18,"Tokens related to storytelling, such as ""Story"" headers, professions like ""veterinarian,"" or dialogue markers."
19,"The token ""She"" at the start of a sentence."
20,"Repeated action verbs in the structure ""verb and verb"" emphasizing persistence or practice."
21,Commas within or preceding descriptive or narrative phrases.
22,"The verb ""started"" followed by an action or emotion."
23,"Verbs indicating movement or travel in contexts of trips, holidays, or vacations."
24,"The word ""Then"" indicating a sequential or narrative event."
25,"The tokens ""moon"" and ""rise"" in contexts of natural phenomena or upward motion."
26,"The token ""noticed"" in contexts of observing or discovering something unexpected or unusual."
27,"The word ""was"" or ""is"" following ""that"" in descriptive clauses."
28,"Verbs ""fly"" or ""flew"" describing bird movement or action in narrative contexts."
29,Tokens describing specific objects or actions in simple narrative contexts.
30,Words related to weighing or evaluating physical objects or metaphorical options.
31,"The preposition ""in"" following verbs describing circular or spinning motion."
32,"The token ""cheerful"" describing positive or lively attributes in summaries or narrative contexts."
33,"The article ""a"" when used before a noun following verbs like ""take"" or ""took""."
34,"The token ""shelf"" often describing a physical or special object in a room or discovery context."
35,"Pronouns ""she"" or ""he"" in reported speech following verbs like ""said""."
36,"The token ""play"" in sentences about recreational activities, especially at a park."
37,"The token ""nest"" describing a bird's nest in natural or narrative contexts."
38,"The indefinite article ""a"" in sentences describing possession or ownership."
39,"Words conveying vividness or action, like ""bright"" or ""play,"" in lively or dynamic contexts."
40,"The word ""idea"" following ""had an"" in narrative contexts."
41,"Pronouns in sad or emotional contexts, often connecting to personal experiences or feelings."
42,"The word ""great"" used to describe positive experiences or qualities."
43,"The token ""morning"" in narrative contexts, especially when describing the start of an event or routine."
44,"Tools used for cutting or striking, like ""knife,"" ""scissors,"" and ""hammer."""
45,"The indefinite article ""a"" in temporal expressions indicating a duration or moment."
46,Quotation marks introducing direct speech or dialogue.
47,"The token ""want"" in phrases expressing refusal or unwillingness to perform an action."
48,Tokens indicating articles or prepositions in contexts related to clothing or dressing.
49,Verbs expressing desire or learning within narrative summaries.
50,"The token ""life,"" ""weather,"" or ""nature"" in reflective or descriptive contexts."
51,"Tokens ""TV"" and ""cartoon"" related to watching television or animated media."
52,"The token ""slow"" describing pace or character traits in narrative contexts."
53,"The token ""day"" in the phrase ""One day,"" often at the start of a narrative sentence."
54,Singular nouns representing tangible objects or parts of objects in descriptive or narrative contexts.
55,Verbs or nouns suggesting abstract concepts or actions in structured dialogue contexts.
56,"Common function words like ""to,"" ""her,"" and ""other"" in casual or narrative dialogue contexts."
57,"The verb ""pushed"" describing a physical action or effort in various contexts."
58,"The token ""home"" in contexts of returning or bringing something to a familiar place."
