feature_id,explanation
1,"The word ""the"" preceding outdoor locations like park, woods, forest, grass, or snow."
3,"The verb ""ride"" in contexts describing transportation or recreational activities involving bikes or vehicles."
7,"The word ""smiled"" in positive and comforting interactions involving people."
8,"The verb ""ran"" in past tense describing rapid movement towards a specific location."
9,"The preposition ""into"" indicating motion or transition toward a physical space or object."
10,"The preposition ""in"" used before a location or setting in descriptive or narrative contexts."
13,"The pronoun ""he"" following ""so"" indicating a rationale or consequence."
14,"The indefinite article ""a"" following the verb ""had"" in sentences describing possession or experiences."
16,"The token ""way"" in phrases describing a journey or returning home."
18,"The verb ""catch"" in contexts describing attempts to physically capture something."
21,"The token ""agrees"" in contexts of decision-making or mutual consent."
22,"Adjectives describing calmness or lack of noise, such as ""quiet"" and ""peaceful""."
23,"The token ""ashamed"" expressing negative emotion in narrative or dialogue contexts."
25,"Adjectives contrasting physical or emotional states, often following a comma."
26,"The token ""win"" in contexts expressing determination or competition."
31,"The word ""and"" connecting clauses about sadness or fear."
32,"The name ""Tom"" in narrative summaries or character introductions."
33,"The conjunction ""and"" linking two proper nouns in narrative text."
36,"Coordinating conjunction ""and"" connecting positive or neutral actions or events in narrative contexts."
37,Pronouns or auxiliary verbs used in narrative contexts.
38,"Coordinating conjunctions or pronouns in positive, cooperative or interactive contexts."
39,"The preposition ""in"" describing a location where someone lives."
41,"The adjectives ""round"" and ""red"" describing a big object."
42,"The phrase ""take care"" when used to express responsibility or concern for someone or something."
44,"The token ""Tim"" when used as a proper noun in possessive contexts."
45,Tokens related to television or TV as an object or concept.
46,"The token ""brave"" in contexts describing personal qualities or actions demonstrating courage."
47,The period ending a sentence that introduces a character or animal in a narrative.
48,"Verbs describing inability or failure in actions involving movement, expression, or communication."
49,"The phrase ""put on"" indicating an action of wearing something."
50,"Verbs ""took"" or ""take"" describing actions involving objects or tasks."
51,Tokens related to moral judgment or value in contexts of conflict or dialogue.
53,"The word ""to"" following a subject who loves engaging in an activity."
56,Tokens in dialogue features with themes of friendship or storytelling.
61,"The verb ""use"" or ""used"" in contexts describing purposeful actions or tools."
62,The comma in a narrative context separating two related clauses or actions.
64,"The verb ""share"" in contexts of cooperation, learning, or emotional connection."
66,"First names in the phrase ""named [Name]"" introducing characters in a story."
67,"The article ""a"" following verbs like ""take"" or ""took."""
69,"The indefinite article ""a"" before a descriptive noun in a visual observation scenario."
70,"Periods following ""a little girl named Lily"" starting a new sentence about her actions or attributes."
72,Opening quotation marks following a subject attributing speech.
73,"Action verbs ""going"" or ""looking"" describing movement or exploration."
75,"The word ""rabbit"" in sentences introducing a specific rabbit with descriptive context."
76,"Words representing hobbies, interests, or enjoyable activities someone loves."
77,Words with positive sentiment preceding a comma.
80,"The indefinite article ""a"" following verbs related to making or creating something."
81,"The adjective ""long"" describing physical attributes or durations."
84,"The token ""named"" introducing a character's name in storytelling contexts."
85,"The indefinite article ""a"" introducing a noun followed by ""named"" in storytelling contexts."
88,"The comma preceding ""and"" in descriptive sequences about actions or events."
89,"The token ""ball"" when described in contexts involving kicking or playing."
90,Periods concluding sentences with positive or descriptive sentiment.
91,"The past tense of ""be"" (""was"") preceding an emotional or descriptive state."
92,"Tokens related to children playing at a park, focusing on swings, slides, and fun activities."
93,"The token ""In"" introducing a prepositional phrase that describes a specific location or context."
100,"The article ""a"" introducing a description of an object or entity."
101,"Tokens following greetings in dialogue, especially punctuation like quotation marks and exclamation points."
103,"The pronoun ""it"" used in contexts of personal thought or judgment about objects or situations."
