feature_id,explanation
0,"The token ""sun"" in sentences describing its brightness or position in the sky."
1,"Tokens following a colon or comma, often adjectives or nouns implying traits or qualities."
2,"The adjective ""young"" describing a person or character in a narrative or summary."
3,Adjectives or nouns conveying sensory or emotional richness in narrative contexts.
4,"Tokens indicating discovery or creation, often in imaginative or collaborative contexts."
5,"The token ""oy"" within the word ""employment""."
6,"The token ""help"" in contexts of asking or seeking assistance."
7,"The article ""a"" introducing a singular noun in narrative context."
8,"The token ""love"" in contexts expressing emotional warmth or positive connections."
9,"The comma preceding ""So"" in sentences describing actions or decisions."
10,"The word ""Suddenly"" introducing an abrupt or unexpected change in a narrative."
11,"The token ""said"" or ""says"" following ""her mom"" or ""his mom"" in dialogues expressing denial or permission."
12,"The verb ""spend"" describing time or activities shared with others."
13,Opening phrases of fairy tales or dramatic expressions of anger in storytelling contexts.
14,"The token ""Bob"" as the subject in narrative or descriptive contexts."
15,Words conveying strong emotions or actions in a dramatic or intense context.
16,"The ""t"" in ""teddy bear"" within contexts involving affection or interaction with the teddy bear."
17,"Tokens for surfaces like ""floor,"" ""couch,"" or ""carpet"" in descriptive or narrative contexts."
18,"The token ""woods"" in contexts describing nature or locations where characters interact or live."
19,"The token ""It"" introducing a statement identifying or describing an object or occurrence."
20,"Words related to achievement or success, such as ""successful"" and ""succeed""."
21,"The conjunction ""and"" connecting two clauses in positive or neutral contexts."
22,"The word ""lucky"" in various narrative or descriptive contexts."
23,"The letter ""j"" preceding ""olly"" in cheerful or whimsical contexts."
24,"The token ""wind"" in contexts describing its physical force or movement."
25,"The intensifier ""very"" preceding adjectives to emphasize their degree."
26,"The phrase ""leading to"" connecting actions to positive or narrative outcomes like friendships or successes."
27,"Quotation marks surrounding specific words or phrases, often indicating emphasis or a defined term."
28,Verbs indicating action or movement in contexts of intensity or emotion.
29,"The token ""for"" in the context of someone going for a walk or drive."
30,"Tokens ""embarrassed"" or ""ashamed,"" often describing a character's emotional state in narrative contexts."
31,"The token ""Later"" in narrative transitions indicating subsequent events or moments."
32,"The contraction ""’s"" following ""That"" in expressions of judgment or description."
33,"The word ""to"" following verbs indicating returning or going back to a prior location or state."
34,The period concluding a phrase describing an object or entity in a specific location.
35,"Prepositions introducing action or interaction, especially ""on"" and ""for"" in adventure or positive contexts."
36,"Prepositions indicating spatial or temporal relationships, often describing locations or actions in narrative contexts."
37,Common nouns and pronouns in contexts of playful or interactive actions.
38,"The adjective ""scary"" describing unsettling or frightening things."
39,"The word ""cold,"" often describing temperature or sensation in a narrative context."
40,"Superlative adjectives like ""ever"" emphasizing peak experiences or qualities in storytelling contexts."
41,"The token ""OY"" in the word ""DEPLOYMENT""."
42,"Body parts ""mouth"" or ""nose"" mentioned as focal points in descriptive or action-oriented contexts."
43,"The word ""attic"" in contexts describing objects or discoveries within it."
44,"The verb ""pretend"" in imaginative play contexts involving children."
45,"The token ""hat"" referring to a physical object often worn or interacted with."
46,"The comma following ""Then"" in narratives introducing a consequential or significant event."
47,"The verb ""walked"" or ""walking"" describing physical movement, often in a narrative or sequential action."
48,Female proper nouns in narrative contexts.
49,"The token ""forest"" in descriptive or narrative contexts."
50,"The verb ""watched"" or ""watches"" describing focused attention on an ongoing action or event."
51,"Variations of the verb ""get"" in causal or outcome-driven contexts."
52,"The word ""Dialogue"" in contexts related to storytelling elements or summaries."
53,"The adjective ""strong"" used in descriptive or narrative contexts."
54,"The token ""wondered"" or ""wonder"" in contexts of curiosity or questioning thoughts."
55,Pronouns or articles at the start of a sentence or following punctuation.
56,"Polite expressions of gratitude involving the phrase ""Thank you"" in direct speech contexts."
57,"The token ""but"" following a clause expressing fear or hesitation."
58,"The token ""mix"" in contexts describing combinations or blends, often tied to sensory or aesthetic qualities."
59,Nouns describing distinct physical objects or locations often associated with childhood or playful contexts.
60,"The word ""every"" in expressions indicating habitual or repeated actions over time."
61,Words conveying physical or emotional distance in narrative contexts.
62,Adjectives describing physical thickness or thinness.
63,"The pronoun ""I"" in questions expressing a desire or intent to act."
64,The comma following color names in lists.
65,"The word ""else"" in contexts suggesting alternatives or substitutions."
66,"Adjectives describing size like ""big"" or ""small"" in narratives often paired with animals or characters."
67,Period ending sentences about friends engaging in activities.
68,"The verb ""learns"" or ""learn"" describing characters acquiring knowledge or skills in narrative summaries."
69,"The possessive pronouns ""her"" and ""his"" when describing familial or social activities."
70,"The token ""were"" in sentences describing past states or actions, often involving emotions or relationships."
71,"The verb ""knew"" when expressing understanding or realization in a narrative context."
72,"Verbs expressing desire or intention, especially ""want"" and ""wanted,"" often tied to play or interaction."
73,"Variations of ""feel"" or ""felt"" describing emotional states or responses."
74,"The token ""top"" describing the highest point or position in a physical or metaphorical context."
75,"The verb ""looked"" in contexts describing perception or emotional states."
76,"The token ""there"" referring to a specific location or presence in a context."
77,"Pronouns ""she"" or ""he"" in the context of being asked for permission or expressing desires."
78,"The word ""when"" indicating a conditional or temporal clause describing an action or event."
79,"The token ""named"" introducing a proper noun, often a child's name in storytelling contexts."
80,"The preposition ""into"" indicating transformation or division into smaller parts."
81,"Verbs or pronouns indicating discovery, desire, or identification in direct speech contexts."
82,"The definite article ""the"" in spatial contexts describing objects on surfaces or locations."
83,Named animals or creatures in a narrative introduction.
84,"The token ""that"" introducing a realization or lesson learned in a narrative context."
85,"The article ""a"" preceding a noun or adjective in casual narrative contexts."
