feature_id,explanation
2,"The token ""watch"" or ""watched"" describing an action of observing something or someone."
4,"The verb ""buy"" in contexts involving purchasing items or goods."
7,"The token ""cold"" describing weather or temperature conditions in narrative contexts."
9,Adjectives describing uniqueness or positive qualities often in whimsical or narrative contexts.
11,"The verb ""draw"" related to artistic activities or hobbies."
12,"The token ""enormous"" describing size or magnitude in diverse narrative contexts."
13,Tokens in narrative text emphasizing dramatic twists or bad endings.
15,"Conjunction ""and"" in contexts of joy, fun, or togetherness."
16,"The token ""shoes"" in sentences describing someone putting them on before an action or movement."
18,"The word ""long"" used to describe physical attributes, durations, or elongated objects."
19,"The noun ""voice"" in contexts describing someone hearing it, often preceded by ""heard a."""
20,"The token ""called"" introducing a character's name in a narrative context."
22,"The token ""Sam"" as the subject of a story or narrative."
23,Pronouns he/she in contexts describing actions after an event or incident.
27,"Utensil nouns ""spoon"" and ""knife"" mentioned in contexts of possession or usage."
29,"The pronoun ""it"" when expressing affection or appreciation."
30,"The comma following ""applaud"" in sequences listing adjectives."
33,"The token ""mix"" describing combining ingredients, items, or elements in dialogue-heavy contexts."
34,"The word ""Suddenly"" marking an abrupt change or unexpected event in a narrative."
38,"The token ""outside"" in the context of playing outdoors, often paired with positive or exploratory actions."
39,Action or emotion-related verbs in narrative contexts.
41,"The token "","" in texts discussing themes of conflict or foreshadowing."
43,"The modal verb ""would"" in habitual or repeated action contexts."
44,"The adjective ""little"" describing a character or object in a narrative summary."
45,"Tokens describing ""window"" in visual observation contexts, often preceded by verbs of looking or peeking."
46,"The token ""year"" in the phrase ""3-year-old"" describing a child's age."
47,Nouns describing physical entities or time-related concepts in narrative contexts.
48,"The suffix ""ing"" in contexts suggesting negative outcomes or unfavorable situations."
49,"The token ""tired"" describing exhaustion after physical activity or prolonged effort."
50,Sentences conveying positive resolutions or emotions in storytelling contexts.
51,"Adjective ""soft"" describing textures or objects associated with comfort and gentleness."
52,Common determiners in narrative text describing animals or settings.
53,"The token ""wind"" in contexts describing its movement or impact."
54,The period at the end of sentences in narrative or descriptive contexts.
56,"The token ""instead"" indicating a substitution or alternative choice in a narrative context."
57,"The pronoun ""you"" in direct questions or invitations within conversational dialogue."
59,"Prepositions ""of"" or ""with"" following expressions of emotion or evaluation."
60,Verbs describing discovery or revelation following the opening of a container.
63,Words suggesting anticipation or continuation of joyful events or stories.
64,"The pronoun ""her"" when used as the object of a verb indicating communication or instruction."
65,"The token ""spin"" describing rotational motion or figurative twists in narratives."
66,"Verbs expressing decisions or emotions shared by a group, often involving mutual activities or commitments."
67,"The indefinite article ""a"" preceding adjectives describing size, time, or emotional states."
