feature_id,explanation
1,"The verb ""replied"" following a character's speech or dialogue in a narrative context."
2,"Adjectives conveying distinct qualities or emotions, often within storytelling or dialogue contexts."
3,Prepositions or pronouns describing movement or placement of objects involved in accidental actions.
7,Verbs describing unintended consequences or mishaps affecting objects.
13,"The preposition ""on"" used in the context of embarking on a journey or adventure."
17,"The word ""bunny"" or ""rabbit"" in narratives describing animals' actions or adventures."
18,"The word ""thank"" in expressions of gratitude, often within direct speech or quotes."
19,"The token ""much"" following ""so"" in expressions of enjoyment or fun."
20,"The token ""Once"" at the start of a narrative or story."
21,"Tokens indicating conjunctions, intentions, or actions tied to personal aspirations and achievements."
23,"Words for small insects like ""bug"" and ""spider"" in descriptive or narrative contexts."
24,"The word ""full"" describing an abundance of items in a location."
29,"The token ""man"" when it describes an individual performing actions or interacting in a narrative."
30,"The definite article ""the"" in narrative contexts often following ""One day""."
31,Adjectives describing physical or abstract qualities of objects or entities.
33,"The word ""terrible"" used in descriptive or narrative contexts."
34,Period at the end of a sentence conveying a complete thought or emotional resolution.
36,"The verb ""saw"" in past tense when describing an observation or discovery in a narrative."
38,"The token ""room"" describing a personal or specific space."
40,"The possessive pronoun ""his"" referring to male characters and their relationships or belongings."
41,"The token ""Sam"" in narrative contexts featuring action, interaction, or moral themes."
45,"Prepositions ""to"" and ""with"" indicating movement or interaction in a narrative context."
47,"The modal verb ""can"" in polite requests or inquiries, often involving permission or assistance."
48,"The preposition ""through"" in contexts of movement across natural or outdoor environments."
50,"Variants of ""encourage"" in contexts of motivation or support."
55,"The word ""accidentally"" describing unintentional actions causing damage or harm."
58,"The conjunction ""and"" connecting two proper nouns in narrative summaries."
59,"The token ""outside"" in contexts describing playful outdoor activities."
61,Tokens describing playful or exploratory actions in child-centered narratives.
63,Verbs indicating mutual or intentional actions between individuals.
64,"The verb ""thought"" when expressing a personal reflection or consideration by a subject in narrative contexts."
66,"The adverb ""carefully"" used to describe deliberate or cautious actions."
71,"The verb ""put"" used in contexts of placing or positioning objects."
72,"Periods ending descriptive sentences about objects, locations, or events."
78,Adjectives describing notable traits or states in storytelling contexts.
79,"The token ""loved"" expressing positive sentiment or enjoyment in personal activities."
81,"The token ""excited"" describing emotional anticipation or enthusiasm in narrative contexts."
83,"The pronoun ""It"" introducing a description or identification of an object, entity, or phenomenon."
84,"The conjunction ""and"" linking pairs of similar or related items."
85,"The token ""scared"" expressing fear in narrative or descriptive contexts."
87,"Proper nouns following ""named"" or ""called"" in the context of introducing a character."
88,"Indefinite pronouns like ""anyone"" and ""anything"" emphasizing inclusivity or boundlessness."
89,"The article ""a"" preceding a wise or old character in a narrative context."
90,"The word ""next"" in temporal phrases like ""the next day"" or ""the next morning""."
93,"The pronoun ""I"" in contexts expressing personal agency or intention, often in dialogue or direct speech."
94,"The indefinite article ""a"" in the phrase ""Once upon a time."""
95,Tokens within onomatopoeic or descriptive verbs related to animal or human actions.
96,"The token ""two"" in storytelling contexts introducing pairs of friends or characters."
99,"Tokens ""hug"" or ""hugged"" in positive, affectionate contexts."
100,"The word ""to"" following a subject learning a new skill or behavior."
105,"The modal verbs ""could"" and ""would"" expressing possibility, ability, or habitual actions in narrative context."
110,Adjectives or punctuation in dialogue indicating a negative ending or foreshadowing.
114,"The word ""some"" in contexts of quantity or possession."
115,"Possessive pronouns ""his"" or ""her"" referring to a familial or close relationship."
116,"The token ""picture"" describing an image associated with an object or item."
117,"The verb ""picked"" in contexts of lifting or retrieving objects."
118,"Verbs describing movement or travel, especially ""went"" and ""goes"" in habitual or narrative contexts."
119,Tokens in narratives with a focus on foreshadowing or ominous emotional context.
121,"The token ""sun"" in descriptions of bright or shining weather."
125,"The possessive pronoun ""her"" in familial or leisure activity contexts."
129,Pronouns referring to entities involved in dynamic or emotional situations.
130,"The colon preceding the word ""Dialogue"" in story introductions."
132,"Names of people paired with ""and"" in narrative summaries."
135,"Tokens ""penguin"" and ""rhinoceros"" split across syllables in playful or narrative contexts."
138,"Singular nouns ""sign"" or ""letter"" indicating a physical object created or delivered."
139,"The contraction ""don't"" in dialogue expressing reassurance or comfort."
140,"Words describing playground equipment, specifically ""swing"" and ""slide""."
141,"Positive phrases or attributes in storytelling contexts, often describing actions, qualities, or outcomes."
142,"The token ""organize"" in contexts suggesting sorting, arranging, or structuring items or actions."
146,"The verb ""went"" in narrative contexts describing movement or action."
147,"The token ""to"" indicating purpose or intention in positive or creative actions."
149,"Singular nouns in dialogue, often related to personal, social, or environmental themes."
150,"The token ""swim"" describing an action typically involving water or aquatic contexts."
153,"The token ""were"" in storytelling contexts introducing two characters."
154,Pairings of names in narrative summaries.
156,Proper names or familial titles in dialogue following a question mark.
157,"Contraction tokens containing ""n't"" or ""'s"" in informal or conversational contexts."
163,"Commonly used functional words in descriptive or spatial contexts (e.g., ""the,"" ""with,"" ""by,"" ""of"")."
166,"Adjectives conveying subjective qualities or emotions like ""cute,"" ""serious,"" ""powerful,"" and ""normal."""
167,"The token ""game"" when used as part of playing or participating in an activity or competition."
168,"Tokens following ""warns"" or ""warned"" indicating subjects or objects being cautioned."
169,"The token ""party"" in contexts involving celebrations or social gatherings."
173,"The pronoun ""She"" at the beginning of a sentence."
174,"Verbs describing enjoyable activities performed by animate subjects, especially ""play""."
175,"The token ""p"" in words describing pandas or puddles in narrative contexts."
179,Comma preceding quotation marks in dialogue.
181,Verbs conveying action or change tied to emotional or moral significance.
183,"The preposition ""for"" in the phrase ""went for a walk."""
185,"Question marks in direct questions, often followed by dialogue or emotional responses."
190,"Positive, descriptive adjectives associated with objects or actions."
191,"The verb ""heard"" used in contexts of sudden auditory perception."
192,"The token ""flowers"" in contexts related to gardening, planting, or observing nature."
193,"Tokens referring to food, often in contexts emphasizing enjoyment or preparation."
194,"Positive sentiment words often describing actions, attributes, or states of happiness and usefulness."
197,"The pronoun ""it"" when followed by ""was"" indicating identification or explanation of something."
